bill_number,bill_id,title
SB68,396561,"An Act For The Southern Arkansas University - Lignite Research Appropriation For The 2011-2012 Fiscal Year."
SB69,396562,"An Act For The Department Of Health - Birth Certificate Expenses Appropriation For The 2012-2013 Fiscal Year."
SB70,396563,"An Act For The Arkansas Development Finance Authority - Arkansas Housing Trust Fund Advisory Committee Appropriation For The 2012-2013 Fiscal Year."
SB71,396564,"An Act For The University Of Arkansas Community College At Batesville Appropriation For The 2012-2013 Fiscal Year."
SB72,396565,"An Act For The University Of Arkansas Community College At Morrilton Appropriation For The 2012-2013 Fiscal Year."
SB73,396566,"An Act For The College Of The Ouachitas Appropriation For The 2012-2013 Fiscal Year."
SB74,396567,"An Act For The Arkansas Science And Technology Authority Appropriation For The 2012-2013 Fiscal Year."
SB75,396568,"An Act For The Economic Development Commission Appropriation For The 2012-2013 Fiscal Year."
SB76,396569,"An Act For The Mid-south Community College - Arkansas Delta Training And Education Consortium Appropriation For The 2012-2013 Fiscal Year."
SB77,396570,"An Act For The South Arkansas Community College Appropriation For The 2012-2013 Fiscal Year."
SB78,396571,"An Act For The Southeast Arkansas College Appropriation For The 2012-2013 Fiscal Year."
SB79,396572,"An Act For The Sau-tech Appropriation For The 2012-2013 Fiscal Year."
SB80,396573,"An Act For The Arkansas Tobacco Control Board Appropriation For The 2012-2013 Fiscal Year."
SB81,396574,"An Act For The Arkansas Real Estate Commission Appropriation For The 2012-2013 Fiscal Year."
SB82,396575,"An Act For The Arkansas Tobacco Settlement Commission Appropriation For The 2012-2013 Fiscal Year."
SB83,396576,"An Act For The Arkansas Board Of Hearing Instrument Dispensers Appropriation For The 2012-2013 Fiscal Year."
SB84,396577,"An Act For The Arkansas Commission On Law Enforcement Standards And Training Appropriation For The 2012-2013 Fiscal Year."
SB85,396578,"An Act For The Workers' Compensation Commission Appropriation For The 2012-2013 Fiscal Year."
SB86,396579,"An Act For The Arkansas Home Inspector Registration Board Appropriation For The 2012-2013 Fiscal Year."
SB87,396580,"An Act For The Department Of Human Services - Division Of Youth Services Appropriation For The 2012-2013 Fiscal Year."
SB88,396581,"An Act For The Department Of Human Services - Division Of Developmental Disabilities Services Appropriation For The 2012-2013 Fiscal Year."
SB89,396582,"An Act For The Department Of Human Services - Division Of Children And Family Services Appropriation For The 2012-2013 Fiscal Year."
SB90,396583,"An Act For The Department Of Human Services - Division Of Medical Services Appropriation For The 2012-2013 Fiscal Year."
SB91,396584,"An Act For The Department Of Human Services - Division Of Behavioral Health Appropriation For The 2012-2013 Fiscal Year."
SB92,396585,"An Act For The Department Of Human Services - Division Of State Services For The Blind Appropriation For The 2012-2013 Fiscal Year."
