Row,id10957,id10959,id10960,id10965,id10971,id10972,id10973,id11610,id11611,id11920,id14091,id14092,id14094,id14095,id14096,id14097,id14100,id14101,id14103,id14104,id14105,id14107,id14108,id14109,id14110,id14114,id14115,id14117,id14119,id14120,id14121,id14122,id14124,id14125,id14219,id1496,id16033,id16087,id16094,id16282,id16284,id16291,id16292,id16293,id16296,id16297,id16301,id9547
id16288,NaN,NaN,5,NaN,NaN,3,NaN,NaN,NaN,4,5,5,5,NaN,2,NaN,3,5,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,1,5,NaN,NaN,NaN,5,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id16291,NaN,NaN,2,NaN,NaN,5,NaN,NaN,NaN,2,2,2,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16292,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16293,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16294,NaN,NaN,5,2,NaN,8,NaN,NaN,NaN,5,4,5,7,NaN,NaN,NaN,6,7,NaN,NaN,2,7,7,NaN,NaN,NaN,NaN,NaN,7,2,NaN,NaN,7,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16295,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id16296,NaN,NaN,6,1,NaN,20,NaN,NaN,NaN,7,6,6,7,NaN,NaN,NaN,7,7,NaN,NaN,1,7,7,NaN,1,NaN,NaN,1,7,1,NaN,NaN,7,NaN,1,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16297,3,1,3,2,1,11,1,1,NaN,3,2,3,4,1,3,NaN,4,4,1,3,2,6,4,1,1,NaN,1,NaN,4,2,3,1,3,NaN,1,NaN,3,1,1,3,1,1,NaN,NaN,1,3,1,1
id16299,1,NaN,7,1,NaN,2,NaN,NaN,NaN,9,7,8,9,NaN,NaN,NaN,9,9,NaN,NaN,1,9,9,NaN,NaN,NaN,NaN,1,9,1,NaN,NaN,9,NaN,NaN,1,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id16301,1,NaN,7,1,NaN,11,NaN,NaN,NaN,6,8,7,8,NaN,1,NaN,7,8,NaN,1,1,9,8,NaN,NaN,NaN,1,2,8,1,1,1,8,NaN,NaN,NaN,7,NaN,1,1,NaN,NaN,NaN,NaN,2,1,1,NaN
id16303,NaN,NaN,4,1,NaN,5,NaN,NaN,NaN,5,4,4,5,NaN,NaN,NaN,5,5,NaN,NaN,1,5,5,NaN,NaN,NaN,NaN,1,5,1,NaN,NaN,5,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN
id16317,NaN,NaN,5,1,NaN,6,NaN,NaN,NaN,6,6,6,7,NaN,NaN,NaN,7,7,NaN,NaN,1,7,7,NaN,NaN,NaN,NaN,1,6,1,NaN,NaN,7,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,NaN
id17428,NaN,NaN,1,NaN,NaN,2,NaN,1,NaN,1,2,1,1,NaN,NaN,NaN,NaN,2,NaN,NaN,1,2,2,NaN,NaN,NaN,NaN,1,2,NaN,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1
id17429,1,1,1,2,NaN,4,1,1,NaN,2,1,1,3,1,1,NaN,2,2,1,1,2,2,2,2,1,NaN,1,1,2,3,1,1,2,NaN,1,1,1,1,1,1,1,1,NaN,NaN,2,1,2,1
id9547,3,1,4,3,1,6,2,7,NaN,5,3,3,4,1,3,NaN,4,4,1,2,2,4,5,2,1,1,1,1,4,2,2,2,4,1,1,NaN,3,1,2,2,2,1,NaN,NaN,2,1,2,7
