bill_number,bill_id,title
HB298,244863,"To designate the facility of the United States Postal Service located at 500 East Whitestone Boulevard in Cedar Park Texas as the ""Army Specialist Matthew Troy Morris Post Office Building""."
HB299,244864,To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 repeal the 7.5 percent threshold on the deduction for medical expenses provide for increased funding for high-risk pools allow acquiring health insurance across State lines and allow for the creation of association health plans.
HB300,244865,Young Adults Financial Literacy Act
HB301,244866,New Manhattan Project for Energy Independence
HB302,244867,Preserve Land Freedom For Americans Act of 2011
HB303,244868,Retired Pay Restoration Act
HB304,244869,To amend the limitation on liability for certain passenger rail accidents or incidents under section 28103 of title 49 United States Code and for other purposes.
HB305,244870,To waive the time limitations specified by law for the award of certain military decorations in order to allow the posthumous award of the Medal of Honor to Doris Miller for actions while a member of the Navy during World War II.
HB306,244871,Corolla Wild Horses Protection Act
HB307,244872,Seed Availability and Competition Act of 2011
HB308,244873,Large Capacity Ammunition Feeding Device Act
HB309,244874,Samuel B. Moody Bataan Death March Compensation Act
HB310,244875,SEAT Act of 2011
HB311,244876,Social Security Number Fraudulent Use Notification Act of 2011
HB312,244877,Securing the Homeland Through Agency Reporting Enhancement Act
HB313,244878,Drug Trafficking Safe Harbor Elimination Act of 2011
HB314,244879,Medical Liability Procedural Reform Act of 2011
HB315,244880,Health Care Paperwork Reduction and Fraud Prevention Act
HB316,244881,For the relief of Esther Karinge.
HB317,244882,Fresh Fruit and Vegetable Grower Tax Incentive Act of 2011
HB318,244883,To amend title 18 United States Code to punish threats to commit violent crimes against Members of Congress and for other purposes.
HB319,244884,Veterans Day Off Act
HB320,244885,Distinguished Flying Cross National Memorial Act
HB321,244886,Equal Employment for All Act
HB322,244887,Dangerous Products Warning Act
HB323,244888,Corporate Crime Database Act
HB324,244889,To amend title 10 United States Code to provide police officers criminal investigators and game law enforcement officers of the Department of Defense with authority to execute warrants make arrests and carry firearms.
HB325,244890,FAIR (Foreign Air Impact Regulation) AIR Act of 2011
HB326,244891,Mobile Home Protection Act
HB327,244892,Law Enforcement Officers Equity Act
HB328,244893,Safety Efficiency and Accountability in Transportation Projects Through Public Inspection Act of 2011
HB329,244894,Chiropractic Care Available to All Veterans Act
HB330,244895,Homebuyer Tax Credit Renewal Act of 2011
HB331,244896,Fair Taxes for Seniors Act of 2011
HB332,244897,Military Environmental Responsibility Act
HB333,244898,Disabled Veterans Tax Termination Act
HB334,244899,Prevent IRS Overreach Act of 2011
HB335,244900,To provide for a 10 percent reduction in pay for Members of Congress.
HB336,244901,Interest Rate Reduction Act
